Brand Name,OS,RAM Type,RAM Size,Processor,Warranty,Disk Type,Disk Size,Price
Lenovo,Windows,DDR4,8,AMD,2,SSD,512,35591
DELL,Windows,DDR4,8,Intel,1,SSD,512,74771
ASUS,Windows,DDR5,16,Intel,1,SSD,1024,109990
ASUS,Windows,DDR4,16,AMD,1,SSD,1024,150991
Lenovo,Windows,DDR4,8,Intel,2,SSD,256,36991
acer,Windows,DDR4,8,AMD,1,SSD,512,62991
acer,Windows,DDR4,8,Intel,1,SSD,512,40990
MSI,Windows,DDR4,8,Intel,2,SSD,512,58499
Lenovo,Windows,DDR4,8,Intel,1,HDD,1024,65990
Lenovo,Windows,DDR4,8,Intel,2,SSD,256,36991
RedmiBook,Windows,DDR4,8,Intel,1,SSD,512,39990
DELL,Windows,DDR5,16,Intel,1,SSD,512,111991
Lenovo,Windows,DDR4,16,Intel,1,SSD,512,68490
ASUS,Windows,DDR5,16,AMD,1,SSD,1024,196991
Lenovo,Windows,DDR4,8,AMD,2,SSD,512,38706
Infinix,Windows,Others,16,Intel,1,SSD,512,46990
ASUS,Windows,DDR4,8,Intel,2,HDD,1024,83991
acer,Windows,DDR4,8,Intel,1,SSD,512,54990
ASUS,Others,Others,4,Intel,1,SSD,128,14991
ASUS,Windows,DDR4,16,AMD,1,SSD,1024,85991
Lenovo,Windows,DDR4,8,AMD,2,SSD,512,35591
APPLE,Mac,DDR4,8,Others,1,SSD,1024,149991
DELL,Windows,DDR4,8,Intel,1,SSD,512,63090
ASUS,Windows,DDR4,16,AMD,1,SSD,1024,150991
Lenovo,Windows,DDR4,8,Intel,2,SSD,512,39990
MSI,Windows,DDR5,16,Intel,2,SSD,1024,200000
Lenovo,Windows,DDR4,8,Intel,1,SSD,256,37391
ASUS,Windows,Others,8,Intel,1,SSD,512,63990
DELL,Windows,DDR4,4,Intel,1,SSD,512,43091
ASUS,Windows,DDR5,16,AMD,1,SSD,1024,194990
Lenovo,Windows,DDR4,8,AMD,2,SSD,512,44990
Lenovo,Windows,DDR4,4,Intel,1,SSD,256,44700
HP,Windows,DDR4,8,Intel,1,SSD,256,41150
Lenovo,Windows,DDR4,8,Intel,2,SSD,256,36991
Lenovo,Windows,DDR4,8,Intel,2,SSD,512,39990
ASUS,Windows,DDR4,8,AMD,1,SSD,256,33991
MSI,Windows,DDR5,16,Intel,2,SSD,1024,190890
ASUS,Windows,Others,16,Intel,1,SSD,1024,174991
HP,Windows,DDR4,16,AMD,1,SSD,1024,118990
RedmiBook,Windows,DDR4,8,Intel,1,SSD,512,39990
ASUS,Windows,DDR5,16,AMD,1,SSD,1024,196991
ASUS,Windows,DDR4,16,Intel,1,SSD,512,63981
acer,Windows,DDR4,8,AMD,1,SSD,512,54301
Lenovo,Windows,DDR4,8,AMD,2,SSD,512,38706
ASUS,Windows,DDR4,16,AMD,1,SSD,1024,85991
DELL,Windows,DDR4,8,AMD,1,SSD,256,36400
ASUS,Windows,DDR4,4,Intel,1,SSD,256,28591
DELL,Windows,DDR4,16,AMD,1,SSD,512,69999
ASUS,Windows,DDR5,32,Intel,1,SSD,1024,301990
Lenovo,Windows,DDR4,8,AMD,2,SSD,512,35591
ASUS,Windows,DDR4,16,AMD,1,SSD,1024,150991
Lenovo,Windows,DDR4,8,Intel,2,SSD,256,37001
Lenovo,Windows,DDR4,16,Intel,1,SSD,512,64990
Lenovo,Windows,DDR4,8,AMD,1,SSD,512,73491
ASUS,Windows,DDR5,16,AMD,1,SSD,1024,194990
DELL,Windows,DDR4,8,Intel,1,SSD,256,42691
ASUS,Windows,DDR5,16,AMD,1,SSD,1024,140991
Lenovo,Windows,DDR4,4,Intel,1,SSD,256,38991
HP,Windows,Others,16,Intel,1,SSD,512,128991
acer,Windows,DDR4,8,Intel,1,SSD,512,54999
Lenovo,Windows,DDR4,8,Intel,2,SSD,256,36991
acer,Windows,DDR4,8,Intel,1,HDD,1024,60131
acer,Windows,DDR4,8,Intel,1,SSD,256,29491
DELL,Windows,DDR4,8,Intel,1,SSD,512,72491
Lenovo,Windows,DDR4,8,Intel,2,SSD,512,39990
Others,Windows,DDR4,16,Intel,2,SSD,512,73991
acer,Windows,DDR4,8,Intel,1,HDD,1024,47131
Lenovo,Windows,DDR4,8,AMD,1,SSD,512,55601
RedmiBook,Windows,DDR4,8,Intel,1,SSD,512,39990
DELL,Windows,DDR4,8,AMD,1,SSD,512,49690
ASUS,Windows,DDR5,32,Intel,1,SSD,1024,239990
MSI,Windows,DDR4,16,Intel,2,SSD,512,73991
Lenovo,Windows,DDR4,8,AMD,2,SSD,512,38706
HP,Windows,DDR4,8,AMD,1,SSD,512,52491
HP,Windows,DDR4,8,Intel,1,SSD,512,41990
ASUS,Windows,DDR4,8,Intel,1,SSD,256,29991
ASUS,Windows,DDR5,16,AMD,1,SSD,1024,196991
Others,Windows,DDR4,8,Intel,1,SSD,512,50491
acer,Windows,DDR4,16,Intel,1,HDD,1024,96490
Infinix,Windows,Others,16,Intel,1,SSD,512,37991
ASUS,Windows,DDR4,16,AMD,1,SSD,1024,85991
MSI,Windows,Others,16,Intel,1,SSD,512,74991
ASUS,Windows,DDR4,8,Intel,1,SSD,512,51991
Lenovo,Windows,DDR4,8,Intel,2,SSD,256,36991
Lenovo,Windows,DDR4,8,Intel,2,SSD,512,39990
ASUS,Windows,DDR4,8,AMD,1,HDD,1024,71346
ASUS,Windows,DDR4,16,Intel,1,SSD,1024,101491
MSI,Windows,DDR5,32,Intel,2,SSD,1024,274990
ASUS,Windows,DDR5,16,AMD,1,SSD,1024,199991
RedmiBook,Windows,DDR4,8,Intel,1,SSD,512,39990
ASUS,Windows,DDR5,16,AMD,1,SSD,1024,196991
DELL,Windows,DDR4,8,Intel,1,SSD,256,41091
Lenovo,Windows,DDR4,8,Intel,2,SSD,256,50500
Lenovo,Windows,DDR4,8,AMD,2,SSD,512,38706
ASUS,Windows,DDR4,16,AMD,1,SSD,1024,85991
HP,Windows,DDR4,8,AMD,1,SSD,512,78950
Lenovo,Windows,Others,16,AMD,1,SSD,512,67991
ASUS,Windows,DDR4,16,AMD,1,SSD,1024,187991
Lenovo,Windows,DDR4,16,Intel,2,SSD,1024,102991
Lenovo,Windows,DDR4,8,AMD,2,SSD,512,35591
ASUS,Windows,DDR4,16,AMD,1,SSD,1024,150991
ASUS,Others,DDR4,4,Intel,1,SSD,256,35991
HP,Windows,DDR4,8,AMD,1,SSD,512,52576
Lenovo,Windows,DDR4,8,AMD,1,SSD,512,73491
ASUS,Windows,DDR5,16,AMD,1,SSD,1024,194990
DELL,Windows,DDR4,8,AMD,1,SSD,512,50991
Lenovo,Windows,DDR4,16,Intel,1,SSD,512,60125
Lenovo,Windows,DDR4,4,Intel,1,SSD,256,26491
HP,Windows,DDR4,8,AMD,1,SSD,512,80249
Lenovo,Windows,DDR4,8,Intel,2,SSD,256,36991
Lenovo,Windows,DDR4,8,Intel,2,SSD,512,39990
acer,Windows,DDR4,32,Intel,1,HDD,1024,130000
ASUS,Windows,DDR4,8,AMD,1,SSD,1024,76991
RedmiBook,Windows,DDR4,8,Intel,1,SSD,512,39990
ASUS,Windows,DDR5,16,AMD,1,SSD,1024,196991
ASUS,Windows,DDR4,8,Intel,1,SSD,512,36991
MSI,Windows,DDR4,16,Intel,2,SSD,512,107791
DELL,Windows,DDR4,16,Intel,1,SSD,512,75990
ASUS,Windows,Others,16,Intel,1,SSD,512,95990
Lenovo,Windows,DDR4,8,AMD,2,SSD,512,38706
ASUS,Windows,DDR4,16,AMD,1,SSD,1024,85991
acer,Windows,DDR4,8,Intel,1,SSD,512,62000
HP,Windows,DDR4,8,Intel,1,SSD,256,28990
Lenovo,Windows,DDR4,8,AMD,2,SSD,512,35591
ASUS,Windows,DDR4,16,AMD,1,SSD,1024,150991
Lenovo,Windows,DDR4,8,Intel,1,SSD,512,54990
ASUS,Windows,DDR4,16,Intel,1,SSD,512,56990
ASUS,Windows,DDR4,8,Intel,1,SSD,256,45990
ASUS,Windows,DDR4,8,Intel,1,SSD,512,38217
Lenovo,Windows,DDR4,8,Intel,2,SSD,256,36991
Lenovo,Windows,DDR4,8,Intel,2,SSD,512,39990
MSI,Windows,DDR4,8,Intel,2,SSD,512,79991
DELL,Windows,DDR4,4,Intel,1,HDD,1024,43991
RedmiBook,Windows,DDR4,8,Intel,1,SSD,512,39990
ASUS,Windows,DDR5,16,AMD,1,SSD,1024,196991
HP,Windows,DDR4,16,AMD,1,SSD,1024,108250
ASUS,Windows,DDR4,4,Intel,1,HDD,1024,28990
MSI,Windows,DDR5,32,Intel,2,SSD,1024,363487
DELL,Windows,DDR4,16,Intel,1,SSD,512,67224
Lenovo,Windows,DDR4,8,AMD,2,SSD,512,38706
ASUS,Windows,DDR4,16,AMD,1,SSD,1024,85991
acer,Windows,DDR4,16,AMD,1,HDD,1024,114990
ASUS,Windows,DDR4,4,Intel,1,HDD,1024,61249
Lenovo,Windows,DDR4,8,AMD,2,SSD,512,35591
ASUS,Windows,DDR4,16,AMD,1,SSD,1024,150991
HP,Windows,DDR4,16,Intel,1,SSD,512,69990
Lenovo,Others,DDR4,8,AMD,1,SSD,512,69990
Lenovo,Windows,DDR4,16,Intel,1,SSD,512,79991
Lenovo,Windows,DDR4,8,AMD,1,SSD,256,37991
Lenovo,Windows,DDR4,8,AMD,1,SSD,512,73491
ASUS,Windows,DDR5,16,AMD,1,SSD,1024,194990
Infinix,Windows,Others,8,Intel,1,SSD,512,36991
ASUS,Windows,DDR4,4,Intel,1,SSD,128,29980
Lenovo,Windows,DDR4,8,Intel,2,SSD,256,36991
RedmiBook,Windows,DDR4,8,Intel,1,SSD,512,39990
ASUS,Windows,Others,16,Intel,1,SSD,512,95990
DELL,Windows,DDR4,8,AMD,1,SSD,512,41600
DELL,Windows,DDR4,16,Intel,1,SSD,512,67224
ASUS,Windows,DDR4,8,Intel,1,SSD,512,61987
ASUS,Windows,DDR5,16,AMD,1,SSD,1024,196991
Lenovo,Windows,DDR4,8,AMD,2,SSD,512,38706
ASUS,Windows,DDR4,4,Intel,1,HDD,1024,61249
HP,Windows,DDR4,8,AMD,1,SSD,256,39000
ASUS,Windows,DDR4,16,AMD,1,SSD,1024,85991
Lenovo,Windows,DDR4,8,AMD,2,SSD,512,35591
Lenovo,Windows,DDR4,4,Intel,1,SSD,256,31990
Lenovo,Windows,DDR4,8,AMD,1,SSD,256,37991
ASUS,Windows,DDR4,4,Intel,1,SSD,128,29980
ASUS,Windows,DDR4,8,Intel,1,SSD,512,46990
ASUS,Windows,DDR4,16,AMD,1,SSD,1024,150991
Lenovo,Windows,DDR4,8,AMD,1,SSD,512,73491
Infinix,Windows,Others,8,Intel,1,SSD,512,37991
Infinix,Windows,Others,8,Intel,1,SSD,512,36991
Lenovo,Windows,DDR4,8,Intel,2,SSD,512,39990
ASUS,Windows,DDR5,16,AMD,1,SSD,1024,194990
acer,Windows,DDR4,8,AMD,1,HDD,1024,61490
HP,Windows,DDR4,16,AMD,1,SSD,1024,109990
HP,Windows,DDR4,8,AMD,1,SSD,512,54990
Lenovo,Windows,DDR4,8,AMD,2,SSD,512,50991
Lenovo,Windows,DDR4,8,Intel,2,SSD,256,36991
RedmiBook,Windows,DDR4,8,Intel,1,SSD,512,39990
MSI,Windows,DDR4,8,Intel,2,HDD,1024,62191
ASUS,Others,Others,4,Intel,1,SSD,128,24390
ASUS,Windows,DDR5,16,AMD,1,SSD,1024,196991
Lenovo,Windows,DDR4,8,AMD,2,SSD,512,38706
Lenovo,Windows,DDR4,8,Intel,2,HDD,1024,36991
HP,Windows,DDR4,16,AMD,1,SSD,1024,159991
ASUS,Windows,DDR4,4,Intel,1,SSD,256,34490
ASUS,Windows,DDR4,16,AMD,1,SSD,512,99991
ASUS,Windows,DDR4,16,AMD,1,SSD,1024,85991
Lenovo,Windows,DDR4,8,AMD,2,SSD,512,35591
ASUS,Windows,Others,8,Intel,1,SSD,512,79991
Infinix,Windows,Others,4,Intel,1,SSD,128,20991
ASUS,Windows,DDR4,16,AMD,1,SSD,1024,150991
Lenovo,Windows,DDR4,8,Intel,2,SSD,512,39990
HP,Windows,DDR4,8,Intel,1,HDD,1024,41490
DELL,Windows,DDR5,16,AMD,1,SSD,1024,206581
ASUS,Windows,DDR4,8,AMD,1,SSD,512,59990
acer,Windows,DDR4,16,Intel,1,SSD,512,62991
ASUS,Windows,DDR5,16,AMD,1,SSD,1024,194990
Lenovo,Windows,DDR4,8,AMD,2,SSD,512,44990
ASUS,Windows,DDR5,16,AMD,1,SSD,1024,194990
ASUS,Windows,DDR4,8,AMD,1,HDD,1024,62991
RedmiBook,Windows,DDR4,8,Intel,1,SSD,512,39990
ASUS,Windows,DDR5,16,AMD,1,SSD,1024,196991
Lenovo,Windows,DDR4,8,AMD,1,SSD,512,61990
ASUS,Windows,DDR5,16,AMD,1,SSD,1024,105990
acer,Windows,DDR5,16,Intel,1,SSD,1024,155490
Others,Windows,Others,4,Intel,1,SSD,128,19991
Lenovo,Windows,DDR4,8,AMD,2,SSD,512,38706
ASUS,Windows,DDR4,16,AMD,1,SSD,1024,85991
Lenovo,Windows,DDR4,4,Intel,1,HDD,1024,33500
Infinix,Windows,Others,8,Intel,1,SSD,512,42991
Lenovo,Windows,DDR4,8,AMD,2,SSD,512,35591
ASUS,Windows,DDR4,16,AMD,1,SSD,1024,150991
HP,Windows,DDR4,8,Intel,1,SSD,512,63990
acer,Windows,DDR4,16,Intel,1,SSD,1024,124991
ASUS,Windows,DDR4,4,Intel,1,SSD,128,21991
Lenovo,Windows,DDR4,4,Intel,1,SSD,256,30100
Lenovo,Windows,DDR4,8,Intel,2,SSD,256,36991
Lenovo,Windows,DDR4,8,Intel,2,SSD,512,39990
HP,Windows,DDR5,32,Intel,1,SSD,1024,199991
acer,Windows,DDR4,8,Intel,1,HDD,1024,61130
ASUS,Windows,DDR5,16,AMD,1,SSD,1024,194990
Lenovo,Windows,DDR4,8,AMD,2,SSD,512,44990
Lenovo,Windows,DDR4,8,Intel,1,HDD,1024,40990
ASUS,Windows,DDR4,8,Intel,1,SSD,1024,75990
HP,Windows,DDR4,8,Intel,1,SSD,512,46891
Lenovo,Windows,DDR4,8,Intel,1,SSD,256,37391
Lenovo,Windows,DDR4,8,Intel,2,SSD,256,36991
Lenovo,Windows,DDR4,8,Intel,2,SSD,512,39990
Lenovo,Windows,DDR4,16,Intel,1,SSD,512,68490
ASUS,Windows,DDR4,4,Intel,1,SSD,128,19991
RedmiBook,Windows,DDR4,8,Intel,1,SSD,512,39990
ASUS,Windows,DDR5,16,AMD,1,SSD,1024,196991
ASUS,Windows,DDR4,16,Intel,1,SSD,512,89991
DELL,Windows,DDR4,8,Intel,1,SSD,512,59790
MSI,Windows,DDR4,16,Intel,2,SSD,1024,125991
ASUS,Windows,DDR5,32,AMD,1,SSD,1024,249991
Lenovo,Windows,DDR4,8,AMD,2,SSD,512,38706
ASUS,Windows,DDR4,16,AMD,1,SSD,1024,85991
ASUS,Windows,DDR5,16,AMD,1,SSD,1024,149991
DELL,Windows,DDR4,8,Intel,1,SSD,256,36991
Lenovo,Windows,DDR4,8,AMD,2,SSD,512,35591
ASUS,Windows,DDR4,16,AMD,1,SSD,1024,150991
ASUS,Windows,DDR4,16,Intel,1,SSD,512,85991
HP,Windows,DDR4,8,AMD,1,SSD,512,60990
DELL,Windows,DDR5,8,Intel,1,SSD,512,87901
Lenovo,Windows,DDR4,4,AMD,1,HDD,1024,27490
DELL,Windows,DDR4,8,Intel,1,SSD,256,36991
ASUS,Windows,DDR5,32,AMD,1,SSD,1024,249991
ASUS,Windows,DDR5,16,AMD,1,SSD,1024,149991
RedmiBook,Windows,DDR4,8,Intel,1,SSD,512,39990
HP,Windows,DDR4,8,AMD,1,HDD,1024,29000
DELL,Windows,DDR5,8,Intel,1,SSD,512,87901
acer,Windows,DDR4,16,Intel,1,HDD,1024,117990
Lenovo,Windows,DDR4,8,AMD,2,SSD,512,38706
ASUS,Windows,DDR4,16,Intel,1,SSD,512,85991
DELL,Windows,DDR4,8,Intel,1,HDD,1024,61497
HP,Windows,DDR4,8,AMD,1,SSD,512,70401
ASUS,Windows,DDR5,16,AMD,1,SSD,1024,196991
Lenovo,Windows,DDR4,16,Intel,2,SSD,512,69000
Lenovo,Windows,DDR4,8,AMD,1,SSD,512,64490
ASUS,Windows,DDR5,16,AMD,1,SSD,1024,149991
ASUS,Windows,DDR4,16,AMD,1,SSD,1024,85991
HP,Windows,DDR5,8,AMD,1,SSD,512,96579
DELL,Windows,DDR4,16,Intel,1,SSD,512,101990
ASUS,Windows,DDR4,16,Intel,1,SSD,512,89991
Lenovo,Windows,DDR4,8,AMD,2,SSD,512,35591
HP,Windows,DDR5,8,AMD,1,SSD,512,94990
MSI,Windows,DDR5,32,Intel,2,SSD,1024,314991
DELL,Windows,DDR4,8,Intel,2,HDD,1024,46900
ASUS,Windows,DDR4,16,AMD,1,SSD,1024,150991
Lenovo,Windows,DDR4,8,Intel,2,SSD,256,36991
Lenovo,Windows,DDR4,8,Intel,2,SSD,512,39990
ASUS,Windows,DDR5,32,Intel,1,SSD,1024,331991
DELL,Windows,DDR5,16,Intel,1,SSD,1024,116490
HP,Windows,DDR4,8,AMD,1,SSD,512,64590
DELL,Windows,DDR5,16,Intel,1,SSD,1024,137991
RedmiBook,Windows,DDR4,8,Intel,1,SSD,512,39990
ASUS,Windows,DDR5,16,AMD,1,SSD,1024,196991
DELL,Windows,DDR4,8,Intel,1,SSD,512,55691
Lenovo,Windows,DDR4,16,Intel,1,SSD,512,109990
Lenovo,Windows,DDR4,8,AMD,2,SSD,512,38706
ASUS,Windows,DDR4,16,AMD,1,SSD,1024,85991
ASUS,Windows,DDR4,8,Intel,1,HDD,1024,79991
ASUS,Windows,DDR4,16,AMD,1,SSD,1024,130500
ASUS,Windows,DDR5,32,AMD,1,SSD,1024,361990
ASUS,Windows,DDR5,16,AMD,1,SSD,1024,211991
Lenovo,Windows,DDR4,8,AMD,2,SSD,512,35591
ASUS,Windows,DDR4,16,AMD,1,SSD,1024,150991
DELL,Windows,DDR4,4,Intel,1,SSD,256,39891
MSI,Windows,DDR4,16,Intel,2,SSD,1024,139990
Lenovo,Windows,DDR4,8,AMD,1,SSD,512,73491
ASUS,Windows,DDR5,16,AMD,1,SSD,1024,194990
MSI,Windows,DDR4,16,Intel,2,HDD,1024,99991
HP,Windows,DDR4,16,Intel,1,SSD,512,66700
DELL,Windows,DDR4,8,Intel,1,HDD,1024,68991
DELL,Windows,DDR4,32,Intel,1,SSD,1024,363487
Lenovo,Windows,DDR4,8,Intel,2,SSD,256,36991
Lenovo,Windows,DDR4,8,Intel,2,SSD,512,39990
DELL,Windows,DDR4,32,Intel,1,SSD,1024,345390
HP,Windows,DDR4,16,Intel,1,SSD,512,105823
RedmiBook,Windows,DDR4,8,Intel,1,SSD,512,39990
ASUS,Windows,DDR5,16,AMD,1,SSD,1024,196991
Lenovo,Others,Others,4,Intel,1,SSD,128,28491
Lenovo,Windows,DDR4,16,Intel,1,SSD,512,66990
acer,Windows,DDR4,8,Intel,1,SSD,512,86999
ASUS,Windows,DDR4,8,Intel,1,SSD,256,36991
Lenovo,Windows,DDR4,8,AMD,2,SSD,512,38706
ASUS,Windows,DDR4,16,AMD,1,SSD,1024,85991
Lenovo,Windows,DDR4,4,Intel,1,SSD,256,23251
DELL,Windows,DDR4,8,Intel,1,SSD,256,42391
Lenovo,Windows,DDR4,8,AMD,2,SSD,512,35591
ASUS,Windows,DDR4,16,AMD,1,SSD,1024,150991
Lenovo,Windows,DDR4,8,Intel,1,SSD,512,58990
ASUS,Windows,DDR4,16,Intel,1,SSD,1024,110990
acer,Windows,DDR4,32,Intel,1,HDD,1024,74590
DELL,Windows,DDR4,8,AMD,1,SSD,512,71991
ASUS,Windows,DDR5,16,AMD,1,SSD,1024,194990
Lenovo,Windows,DDR4,8,AMD,2,SSD,512,44990
Lenovo,Windows,DDR4,16,Intel,2,SSD,512,84990
ASUS,Windows,Others,16,AMD,1,SSD,1024,119990
Lenovo,Windows,DDR4,8,Intel,2,SSD,256,36991
Lenovo,Windows,DDR4,8,Intel,2,SSD,512,39990
MSI,Windows,DDR4,32,Intel,2,SSD,1024,214990
MSI,Windows,DDR4,8,Intel,1,SSD,512,48790
DELL,Windows,DDR4,16,AMD,1,SSD,512,76001
ASUS,Windows,Others,32,AMD,1,SSD,1024,224991
RedmiBook,Windows,DDR4,8,Intel,1,SSD,512,39990
ASUS,Windows,DDR5,16,AMD,1,SSD,1024,196991
Infinix,Windows,Others,8,Intel,1,SSD,512,49990
ASUS,Windows,Others,16,Intel,1,SSD,512,164990
Lenovo,Windows,DDR4,8,AMD,2,SSD,512,38706
ASUS,Windows,DDR4,16,AMD,1,SSD,1024,85991
HP,Windows,DDR4,8,AMD,1,SSD,256,31490
DELL,Windows,DDR4,8,Intel,1,SSD,512,48077
ASUS,Windows,DDR4,16,AMD,1,SSD,1024,154991
ASUS,Windows,DDR4,32,Intel,1,SSD,1024,224991
Lenovo,Windows,DDR4,8,AMD,2,SSD,512,35591
ASUS,Windows,DDR4,16,AMD,1,SSD,1024,150991
ASUS,Windows,DDR4,8,Intel,1,HDD,1024,44990
ASUS,Windows,DDR4,8,Intel,1,SSD,512,65990
Lenovo,Windows,DDR4,8,AMD,1,SSD,512,73491
ASUS,Windows,DDR5,16,AMD,1,SSD,1024,194990
